id,login,email,action,approved,reason,firstName,lastName,status,created,lastLogin,passwordChanged,appLinkCount,groupCount,createdDays,lastLoginDays,passwordChangedDays,isDormantCandidate,reasons,evidence,riskScore,reviewPriority
00u14x54rfeuS9lFK698,utility19.test.user01@example.com,utility19.test.user01@example.com,delete,approved,Dormant user review candidate: NO_APP_LINKS. Evidence: appLinkCount=0,Utility19,TestUser01,PROVISIONED,2026-07-06T21:16:33.000Z,,,0,0,0,,,True,NO_APP_LINKS,appLinkCount=0,15,LOW
00u14x564f4BkdPTn698,utility19.test.user03@example.com,utility19.test.user03@example.com,delete,approved,Dormant user review candidate: NO_APP_LINKS. Evidence: appLinkCount=0,Utility19,TestUser03,PROVISIONED,2026-07-06T21:16:34.000Z,,,0,0,0,,,True,NO_APP_LINKS,appLinkCount=0,15,LOW
00u14x56hnlT4EHvi698,utility19.test.user04@example.com,utility19.test.user04@example.com,delete,approved,Dormant user review candidate: NO_APP_LINKS. Evidence: appLinkCount=0,Utility19,TestUser04,PROVISIONED,2026-07-06T21:16:34.000Z,,,0,0,0,,,True,NO_APP_LINKS,appLinkCount=0,15,LOW
00u14x57d83c16p2J698,utility19.test.user05@example.com,utility19.test.user05@example.com,delete,approved,Dormant user review candidate: NO_APP_LINKS. Evidence: appLinkCount=0,Utility19,TestUser05,PROVISIONED,2026-07-06T21:16:35.000Z,,,0,0,0,,,True,NO_APP_LINKS,appLinkCount=0,15,LOW
00u14x57mg3M8pfem698,utility19.test.user02@example.com,utility19.test.user02@example.com,delete,approved,Dormant user review candidate: NO_APP_LINKS. Evidence: appLinkCount=0,Utility19,TestUser02,PROVISIONED,2026-07-06T21:16:33.000Z,,,0,0,0,,,True,NO_APP_LINKS,appLinkCount=0,15,LOW
00u14x53e5bZHXC67698,utility19.test.user13@example.com,utility19.test.user13@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser13,STAGED,2026-07-06T21:16:39.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x54ttzGKPY0l698,utility19.test.user15@example.com,utility19.test.user15@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser15,STAGED,2026-07-06T21:16:40.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x551dePv3QPn698,utility19.test.user11@example.com,utility19.test.user11@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser11,STAGED,2026-07-06T21:16:38.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x55iamWtwPdZ698,utility19.test.user17@example.com,utility19.test.user17@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser17,STAGED,2026-07-06T21:16:41.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x562c9slK1nc698,utility19.test.user16@example.com,utility19.test.user16@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser16,STAGED,2026-07-06T21:16:40.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x56ejsWG4gqk698,utility19.test.user12@example.com,utility19.test.user12@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser12,STAGED,2026-07-06T21:16:38.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x57fkwmTDSAA698,utility19.test.user14@example.com,utility19.test.user14@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser14,STAGED,2026-07-06T21:16:39.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x57fljWE49CS698,utility19.test.user20@example.com,utility19.test.user20@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser20,STAGED,2026-07-06T21:16:42.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x57xb3aPpaYe698,utility19.test.user19@example.com,utility19.test.user19@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser19,STAGED,2026-07-06T21:16:42.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
00u14x57y1yMgwooP698,utility19.test.user18@example.com,utility19.test.user18@example.com,delete,approved,Dormant user review candidate: INACTIVE_STATUS;NO_APP_LINKS. Evidence: status=STAGED | appLinkCount=0,Utility19,TestUser18,STAGED,2026-07-06T21:16:41.000Z,,,0,0,0,,,True,INACTIVE_STATUS;NO_APP_LINKS,status=STAGED | appLinkCount=0,50,MEDIUM
